WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
talvez,3702.946448677355,-8105.390740083545,7001.52748841375,11934.445730977743,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3793.202792787885,-8051.858312113084,7359.334213654306,11909.009445787602,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3603.7494067847024,-8066.543408220221,6967.508133352773,11964.08414412548,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3484.8381262824687,-8126.021400215794,6530.375067040332,11994.817792751526,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3666.602512193026,-8114.778472754774,6896.474289473807,11936.256222278622,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3791.6158189315584,-8052.819437124663,7338.278870377407,11914.664437134796,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3652.1856370193527,-8058.228559282847,7078.663358529015,11955.03168762108,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3488.347350161952,-8114.309086121212,6573.1563059277905,11993.364929361931,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3626.7493518292135,-8122.981562969871,6790.884648666936,11953.064734109013,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3792.822813132145,-8062.184818051436,7313.44608228756,11910.350550454921,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3685.2215153242964,-8050.114876045571,7172.4736300079385,11944.280498538077,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3490.448414140751,-8099.065196402693,6638.98219334867,11994.37075786242,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3579.386005328418,-8128.345981639145,6695.822679498516,11967.056926138035,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3785.7820136287232,-8076.534637991744,7259.377212450173,11911.378730699866,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3722.5712803091146,-8051.053649312694,7244.066267498287,11934.17751004428,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3521.9420220782786,-8090.12449862057,6724.611726356951,11993.588446806485,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3541.36568800994,-8129.843548517651,6619.73734137265,11979.998586177659,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3766.626568630525,-8086.83879218564,7185.124717369643,11912.988056300648,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3751.8967690344775,-8050.226634767847,7293.351864022239,11918.799509859027,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3544.4949322336834,-8079.462716515389,6810.710645998794,11984.75950774664,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3505.3346759479855,-8127.116635694103,6564.573236056953,11990.436850838287,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3734.238890914785,-8096.874725446073,7090.398024368051,11919.3135999815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3768.593522142592,-8050.561910934676,7331.4839400629935,11914.2621057346,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3584.1469268973983,-8072.757193178796,6917.820205428625,11973.628339007895,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3486.7603763056254,-8124.054446703726,6546.557730025975,11999.601066064963,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3698.4090445529278,-8107.089472662148,6987.289427195719,11931.495300709641,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3789.3135892526616,-8052.350050491101,7346.8619402482445,11912.049283033524,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3625.2070814617973,-8061.916597117973,7018.581869433149,11963.74886795865,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3480.479536113684,-8116.410150100011,6556.481904564132,11997.835278252993,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3652.431506208361,-8119.181766412469,6876.380071208486,11940.592460702952,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3801.9646766143655,-8059.122629061059,7367.514952124948,11904.382634685355,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3653.4820381977606,-8053.445285969411,7115.610792113637,11953.958803887226,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3483.8099460375247,-8112.543298309243,6595.508050383098,11997.052967197058,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3609.6055638319926,-8130.871728762595,6756.842941861504,11951.65657420833,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
talvez,3797.4049207454827,-8074.746498435319,7289.485012231471,11902.706253851207,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
