WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
$SILENCE,33378.59760267706,-8743.331878582463,7768.818172075531,5022.548737829774,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33435.03575742671,-8674.309691704475,7831.470111783757,5109.474672016463,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33520.151200312524,-8617.84918521037,7553.6826316932,5198.41226320413,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33478.062865503176,-8688.279531989043,7446.327203074361,5135.626213029172,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33393.550919717665,-8747.712820495704,7738.352744382948,5033.322278657231,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33419.411888052455,-8686.24552324361,7848.680955014343,5086.787651394326,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33514.31739500969,-8624.018266680034,7605.203402662683,5187.50461190994,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33501.129865781055,-8671.158095736277,7431.150368589208,5155.228692916477,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33391.13693131649,-8742.393105315341,7679.7464704211325,5036.831502536715,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33404.302108800664,-8703.63518042984,7858.292205130126,5063.586540649717,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33501.15221752551,-8631.75197026157,7658.780534122055,5168.97501575649,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33517.02195608878,-8652.829665282925,7424.4671969970705,5165.666957577105,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33417.22141709583,-8736.425189545775,7627.465740140169,5048.722630586938,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33407.92309140242,-8713.447596245718,7858.672184785865,5056.433982424019,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33483.82961557265,-8638.546900575984,7706.814432956509,5151.294785892343,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33524.755659670314,-8638.99393546509,7432.111493600785,5173.7806408143815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33433.582894037114,-8731.194881343232,7563.45034402017,5057.842142324704,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33398.69182094238,-8719.124939337366,7840.254347354692,5040.497188627385,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33479.09104574812,-8639.239804654098,7762.514980139134,5146.39975385663,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33541.050081378235,-8624.845281224882,7468.231912640562,5189.672731122105,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33453.23007741333,-8722.276535305564,7512.935401551176,5078.9868925794235,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33399.85411165406,-8733.653573233316,7811.264134796159,5037.61381359265,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,33466.50701361978,-8658.328194418931,7797.786032889609,5126.9984396694235,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
