WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
não,14569.381126091615,-14591.129373446629,-22381.3828684548,-6721.773054811127,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14568.129428402119,-14616.27508595885,-22319.580295035877,-6738.961546297258,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14450.268679889285,-14667.415877272591,-22671.575566718053,-6754.786581371615,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14465.24434867434,-14643.030124071853,-22708.54535204713,-6684.758565993138,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14579.439411096504,-14604.94275152001,-22404.963958855147,-6650.560396976519,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14596.98553049392,-14596.31497816026,-22276.687297426142,-6701.9470574792695,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14481.762287826812,-14635.609344912691,-22598.351251882465,-6741.196720742789,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14462.830360273167,-14632.725969877956,-22718.335416118553,-6676.086089144479,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14549.175149104018,-14604.585123608724,-22466.051276451504,-6684.8032694820495,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14594.012748481364,-14602.439356141014,-22268.238338022034,-6678.969464179214,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14489.563046641713,-14663.079638848263,-22539.27559128709,-6710.127795949912,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14446.468883331881,-14647.545176451824,-22740.374236151485,-6727.517453136141,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14516.92158185501,-14609.904838789087,-22541.086082587968,-6708.026731971113,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14573.739716260401,-14599.913609017565,-22294.211065079104,-6735.318211951043,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14481.605825615625,-14644.684153161545,-22497.50018090012,-6779.3064450390875,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14422.261944086784,-14639.923231592564,-22761.139006750465,-6728.925613036825,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14499.040186290764,-14606.105042231686,-22587.018917443624,-6666.720708217706,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14583.730946031923,-14590.41411762406,-22285.739753930542,-6662.69739421575,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14529.706779683445,-14628.814414598277,-22403.86872337684,-6715.559269852552,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14442.378514096561,-14650.003868341908,-22719.58711380805,-6732.412485171853,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14483.349261683139,-14625.349894207704,-22637.019769790146,-6701.142394678878,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14571.437486581504,-14598.773670050345,-22328.36453060681,-6687.574885794507,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14537.172262331518,-14628.479138431447,-22352.683228574184,-6723.8964705343815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14429.973295923864,-14662.744362681433,-22702.420974066375,-6725.930479279814,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14455.342525880638,-14633.37417046716,-22689.30050007111,-6690.972350951713,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14556.417114307538,-14592.403422880581,-22378.208920742145,-6672.174533864801,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14539.049808865764,-14616.208030725484,-22326.08465267237,-6728.1880054698,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14424.787691210235,-14656.530577722859,-22667.932232371837,-6741.196720742789,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14449.62047930008,-14635.341123979226,-22715.362634105997,-6685.585580537985,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,14565.201349878473,-14592.135201947118,-22413.032938603516,-6655.187208078767,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
