WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
$SILENCE,24420.487811623552,-14423.357179565095,-20344.043713098017,-8332.08213234927,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24408.64138706224,-14441.707961762902,-20489.106534612958,-8327.70119043603,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24490.94051014668,-14359.341783445096,-20193.43765895816,-8225.061979897258,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24523.19407739569,-14315.30884686814,-19962.94647013503,-8204.00663662036,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24432.445994907142,-14411.42134802596,-20275.848540764873,-8325.845995646237,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24403.88046549326,-14450.827473500667,-20504.909217942863,-8347.616594745707,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24477.328297773398,-14379.480705199327,-20262.571604558423,-8246.184378407524,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24541.27663866003,-14318.795719003168,-19959.750170677922,-8183.3312729992,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24455.624753907294,-14394.523429217748,-20193.080031046873,-8290.060852773291,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24386.177883884655,-14455.543691580737,-20506.518543543643,-8345.783751700372,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24460.56448943192,-14383.03463256772,-20316.416956951256,-8249.827712753739,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24531.888905988802,-14310.235000876786,-19983.510075033915,-8177.653929907553,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24470.77923664799,-14373.825713852135,-20118.291094099415,-8261.674137315053,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24396.705555523105,-14454.962546224899,-20478.824732163517,-8346.811931945316,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24438.682131610174,-14405.967522378865,-20382.488713561146,-8286.462221915986,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24515.147449391778,-14327.289381896184,-20037.64600010467,-8198.664569695542,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24496.2825770715,-14362.538082902203,-20054.29804972387,-8247.01139295237,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24404.260445149,-14451.945060723432,-20445.56533641402,-8350.812894202816,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24426.276913437476,-14424.385359810038,-20435.28353396458,-8304.365969224687,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24505.31268183144,-14341.259222180752,-20098.353338045283,-8204.14074708709,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24514.454545313663,-14339.068751224131,-20003.380775854683,-8207.515860499843,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24425.516954125997,-14433.549575036715,-20380.812332726997,-8316.748835652928,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24430.07670999488,-14427.469900544871,-20453.321391740013,-8292.877172574661,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24502.675175985718,-14344.991963504788,-20147.482472358046,-8216.255392581868,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24518.09787965988,-14333.302001154661,-19979.03972614285,-8214.221383836435,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24406.428564361166,-14430.152109879507,-20340.467433985166,-8322.180309555568,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24383.49567455002,-14435.740045993334,-20503.791630720098,-8312.434948973054,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24480.546948974963,-14358.447713666883,-20213.733042923577,-8211.561526246252,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24546.015208484558,-14320.78502425969,-19953.58108920826,-8191.154383558558,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24458.93281208668,-14415.467013772372,-20251.038104419484,-8321.666219433097,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24413.916398753692,-14456.236595658851,-20503.232837108713,-8351.148170369646,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24483.653841454252,-14378.810152865668,-20273.322793641426,-8253.91808198906,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24539.779071781526,-14315.822936990613,-19972.62477548418,-8193.389558004088,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24465.303059256443,-14395.216333295863,-20181.6135861413,-8287.959788794493,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24400.997090458524,-14455.141360180542,-20501.310587085558,-8344.062667377313,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24455.110663784824,-14398.256170541785,-20342.45673924169,-8265.809210039284,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24522.300007617476,-14332.609097076547,-20009.706319535533,-8178.23507526339,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24479.18349256319,-14372.171684762441,-20104.88004742623,-8238.540081803809,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24400.527703824962,-14450.559252567204,-20476.746019929175,-8339.011173130415,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,24447.64518113675,-14406.593371223615,-20394.60335905592,-8290.530239406853,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
